total_patients,avg_waiting_time,median_waiting_time,max_waiting_time,avg_los,median_los,target_compliance,level_1_count,level_1_avg_wait,level_1_median_wait,level_1_max_wait,level_1_target_compliance,level_2_count,level_2_avg_wait,level_2_median_wait,level_2_max_wait,level_2_target_compliance,level_3_count,level_3_avg_wait,level_3_median_wait,level_3_max_wait,level_3_target_compliance,level_4_count,level_4_avg_wait,level_4_median_wait,level_4_max_wait,level_4_target_compliance,level_5_count,level_5_avg_wait,level_5_median_wait,level_5_max_wait,level_5_target_compliance,strategy,seed,replication
57,49.772786323559174,46.93514833495425,104.99231461118876,68.67910871340635,63.17066363624977,80.7017543859649,1,68.113872241715,68.113872241715,68.113872241715,0.0,9,55.89144303696813,57.58644487211404,75.39169944878927,0.0,16,48.22901542177674,45.046629324461556,82.14462322273823,93.75,23,47.52892765061471,44.31740888144168,104.99231461118876,100.0,8,50.135297269484795,51.35726238145668,66.75245659909945,100.0,FIFO,62,21
57,88.61918605233004,81.14254014420496,163.30464182334634,108.71701074513419,95.48038998361744,43.859649122807014,4,74.39070398347937,73.15287522042924,112.77458897124933,0.0,8,94.07593464854344,86.05326509175808,148.4648259311718,0.0,15,84.53051085099955,65.04716715397782,146.09016370427236,40.0,21,105.16757425854901,122.8843552291259,163.30464182334634,47.61904761904761,9,58.29406551844722,69.97107056926804,82.72153973972533,100.0,FIFO,63,22
62,38.05807915303578,36.62601258913341,84.44976564995517,56.575412708984786,55.96095418394074,83.87096774193549,3,28.238777340254106,22.806858927011817,42.3838403431821,0.0,5,40.82483069795614,57.10616330620104,63.97253875333632,40.0,14,39.401923762083875,40.25217647093953,76.3209264641506,71.42857142857143,27,38.74170015965405,37.14676365992048,79.5977350256627,100.0,13,36.39289115368012,15.306788684591638,84.44976564995517,100.0,FIFO,64,23
51,77.77498723895172,71.7971787849333,156.04513062778227,98.58299588653182,91.61265429799289,60.78431372549019,3,74.38352394436987,86.35145707722688,91.07237943286913,0.0,7,87.36641714827667,76.2176695994456,123.8622745461521,0.0,16,66.14596481504998,62.51802795459019,119.04610956800053,43.75,20,77.42026176590778,71.7805697045003,155.65334748595467,95.0,5,105.01363699130721,94.24846998357913,156.04513062778227,100.0,FIFO,65,24
56,95.2197913803002,105.77725089784111,156.14918742454807,114.21384395162735,120.64072757831408,46.42857142857143,3,109.51840023825696,127.0997615650387,130.31530520249862,0.0,9,97.06700048076605,109.93842862085154,156.14918742454807,0.0,16,86.97380597140906,97.14929011940302,121.95898870869422,25.0,21,103.28954607175365,111.52933896467562,155.79512057612533,71.42857142857143,7,81.35553560082488,74.1776642894921,117.00273464352074,100.0,FIFO,66,25
54,81.44162669046118,78.75125486722344,121.09825403814483,100.31954049722903,96.8499596570515,51.85185185185185,2,76.43564202992638,76.43564202992638,91.97488678756889,0.0,9,81.12760444804861,68.90526935033506,116.67309247126121,0.0,16,77.53060240212646,72.82098602292582,106.55794048265733,12.5,20,82.85417166995089,80.9453748658768,121.09825403814483,95.0,7,88.17929219422457,85.50461108183333,115.47819048184226,100.0,FIFO,67,26
52,62.44892219732783,55.53497887677197,112.6877479197903,82.29287774842288,75.87338478575587,71.15384615384616,2,70.56081893647273,70.56081893647273,92.68313919554879,0.0,6,78.8350948636398,81.56270108299071,105.40540928593975,0.0,22,56.20660962151392,50.86339978206182,100.95118450763613,68.18181818181817,14,65.80715261541214,59.72882596848501,112.6877479197903,100.0,8,59.42077486464838,54.732615509092625,92.07565246843524,100.0,FIFO,68,27
61,52.172755617207365,57.58587367465617,90.90816800252608,70.86553845649846,75.96563050876225,72.1311475409836,4,49.216258146601405,48.36969743763052,54.31503142563997,0.0,10,49.17395232828876,65.89465506522883,90.90816800252608,20.0,10,58.02197391043994,61.7219590890042,76.5645629415215,50.0,24,52.030702874958,59.77413047293196,83.71197762364099,100.0,13,51.15207143668959,57.58587367465617,80.16357589603422,100.0,FIFO,69,28
53,92.57327325049977,88.51094876233046,162.929138657542,112.13905388058188,105.24162464566515,62.264150943396224,2,107.77317377548356,107.77317377548356,126.66928930271106,0.0,9,103.20357138611338,108.41565970092162,148.07613879067253,0.0,11,76.93475195902934,54.47912653718481,156.65876349045283,63.63636363636363,25,83.7881785615651,75.44561889896738,162.929138657542,80.0,6,136.83637611034166,151.37797798135,160.7276250192453,100.0,FIFO,70,29
57,93.26311956633734,81.92668092842118,165.0108845161712,112.04866254104427,101.54260746646935,38.59649122807017,4,98.53555969485252,104.35915744616369,143.33197154509784,0.0,8,80.39602136109875,73.85871403601548,116.38382396263847,0.0,19,93.40496001912341,84.43382975674746,156.4368898427296,10.526315789473683,21,93.77968821606385,79.10044361367672,165.0108845161712,71.42857142857143,5,106.9239425424684,82.71976474514733,158.7972740838797,100.0,FIFO,71,30
45,53.64645104451383,14.146070065484707,272.40538379060877,76.95385452401449,42.41949918108821,66.66666666666666,5,14.851413344408808,13.47203853819724,25.29190905580336,0.0,9,12.92941079011393,11.569961437489667,24.533923927904937,77.77777777777779,20,15.845825454484494,12.047895959784583,51.815542393511464,100.0,11,173.32291128003305,174.69628351024073,272.40538379060877,27.27272727272727,0,0.0,0.0,0.0,0.0,Priority Strict,42,1
51,15.183098926468732,11.401483176394322,47.76570202545673,35.25481346003039,31.483551136028836,90.19607843137256,3,6.545771368018326,3.6376995583845826,12.409519759340242,0.0,11,12.939688191389264,10.553979127573484,29.722745243318812,81.81818181818183,15,17.15763290238089,9.683479715748135,47.76570202545673,100.0,16,14.536229997154331,11.213593008730314,39.69644091395506,100.0,6,20.40333125839763,22.356271501335016,31.183932402855987,100.0,Priority Strict,43,2
46,38.87548418020641,15.72206650030813,148.76795550427187,63.61353474461593,49.37315503731125,56.52173913043478,3,15.824067340580475,10.100313728259948,27.756935531093916,0.0,13,15.535397940253972,14.311473967641064,34.69176473935738,61.53846153846154,22,43.50817066962139,48.25473692820786,92.56362244454988,50.0,8,72.70751778909768,92.08251280132082,148.76795550427187,87.5,0,0.0,0.0,0.0,0.0,Priority Strict,44,3
39,50.318404661850764,20.221455331671066,172.69861362693928,77.06534436492846,61.911831825396575,46.15384615384615,5,16.462597234194373,13.894492855418349,36.035082424489644,0.0,14,40.46883641704668,42.17325880922155,79.55980613268616,35.714285714285715,15,47.40768914042069,14.706420677013128,172.69861362693928,66.66666666666666,5,120.48514973924875,119.17157427366843,128.77195529366344,60.0,0,0.0,0.0,0.0,0.0,Priority Strict,45,4
40,51.349406265295855,42.07722969363509,125.75281669142316,78.00285757386366,65.98304714597069,45.0,5,9.575315946629283,9.689696703054494,13.098419500392538,0.0,10,11.5525584577691,11.71318192125537,20.89101172945351,70.0,25,75.62296345203987,89.0725558684801,125.75281669142316,44.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Priority Strict,46,5
50,48.39961475931208,30.05839547656133,278.7133157839326,71.26186141732919,63.61638920003452,52.0,4,11.685159176536835,11.48234321646531,15.778074927802948,0.0,11,28.705320886972537,17.07835047459716,66.93477909738874,36.36363636363637,27,47.44805883411899,44.18644419370048,118.50254525751546,59.25925925925925,7,109.57064447937253,60.12974884041927,278.7133157839326,71.42857142857143,1,9.389471625938228,9.389471625938228,9.389471625938228,100.0,Priority Strict,47,6
44,43.652139716139,19.510126482509193,319.3392707251533,69.32326260299267,49.054578265272994,75.0,2,8.536867064045992,8.536867064045992,9.02442733180743,0.0,14,11.407597875485513,9.767158454087024,24.846061999270916,71.42857142857143,25,31.88337394381404,31.783140592463468,65.49294151346038,92.0,3,315.60989817662534,319.13776487737096,319.3392707251533,0.0,0,0.0,0.0,0.0,0.0,Priority Strict,48,7
46,71.89958240525735,25.408273940019278,355.78898871770525,96.31244766863065,56.47063635403797,26.08695652173913,6,12.219689457832699,12.05122129837406,18.92611014955382,0.0,12,22.958455582837434,20.842492924371797,50.752622425283775,16.666666666666664,23,62.530055936453515,77.671380255217,144.10383866999456,43.47826086956522,5,304.0739800724722,296.7019433725238,355.78898871770525,0.0,0,0.0,0.0,0.0,0.0,Priority Strict,49,8
41,46.90663355424096,30.039189822927966,160.33916714364756,73.88747445429037,63.37699174284859,39.02439024390244,3,11.819485552483073,14.45991473177844,14.617124352205451,0.0,15,18.97667085679187,16.70599495489762,42.29103064464715,46.666666666666664,23,69.69841113976312,65.85887085823484,160.33916714364756,39.130434782608695,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Priority Strict,50,9
41,71.993826452327,14.312992324984975,332.20757095944685,98.0907057025954,50.0171940620578,51.21951219512195,3,9.010749073526938,8.660041774239517,12.329741589081948,0.0,17,11.2305282495506,11.424004960367284,33.60273180989388,88.23529411764706,15,59.13934357232669,67.39609574924276,109.40975826531238,40.0,6,307.78425058292754,303.79380455866635,332.20757095944685,0.0,0,0.0,0.0,0.0,0.0,Priority Strict,51,10
48,54.17122806095935,19.694672467727003,203.90980343606034,74.46897379397949,44.65232445880548,66.66666666666666,2,14.203904947821016,14.203904947821016,16.76490002062812,0.0,11,12.45524672620192,13.554197129636748,25.396887047458364,72.72727272727273,24,23.03524439366311,19.35415737450988,51.02542613768898,100.0,11,171.0870506903883,174.31640702726003,203.90980343606034,0.0,0,0.0,0.0,0.0,0.0,Priority Strict,52,11
44,43.14467834066857,17.91044265280351,173.93716484873585,68.55677569322953,55.24085241380973,47.72727272727273,6,20.455649294009316,20.352321329426942,34.57876532088372,0.0,14,34.01669651513847,19.200827651807884,81.7594647061224,42.857142857142854,13,95.44656806152328,126.38649845833046,173.93716484873585,30.76923076923077,6,5.085931874914415,5.054852836309408,6.965597922946898,100.0,5,5.615444792826719,6.129477791029828,6.9903113926175,100.0,Priority Strict,53,12
52,65.47531267742036,28.79946534381571,274.2795914625261,87.64461624432138,54.77008810915892,53.84615384615385,7,8.77845619604029,7.775724946768094,12.694250507117374,0.0,13,15.626222628630902,14.877103637691775,39.18602564856138,53.84615384615385,21,34.22218868060894,39.171898483471864,68.30622507217981,95.23809523809523,11,220.13274630805338,262.9615642832364,274.2795914625261,9.090909090909092,0,0.0,0.0,0.0,0.0,Priority Strict,54,13
